"","model","itter","acc","kappa","sensW","sensL","sensD"
"150","mlog",30,0.6,0.37007874015748,0.861111111111111,0.7,0.125
"151","rf",31,0.675,0.464745239320638,0.871794871794872,0.681818181818182,0.263157894736842
"152","nnet",31,0.675,0.458474355636553,0.846153846153846,0.954545454545455,0
"153","knn",31,0.7,0.500650195058517,0.871794871794872,0.818181818181818,0.210526315789474
"154","NB",31,0.675,0.46267114440713,0.846153846153846,0.818181818181818,0.157894736842105
"155","mlog",31,0.7,0.505027068832173,0.82051282051282,0.909090909090909,0.210526315789474
"156","rf",32,0.6375,0.415322580645161,0.861111111111111,0.625,0.25
"157","nnet",32,0.6125,0.360824742268041,0.861111111111111,0.75,0
"158","knn",32,0.6375,0.403905447070915,0.916666666666667,0.458333333333333,0.35
"159","NB",32,0.625,0.402390438247012,0.888888888888889,0.458333333333333,0.35
"160","mlog",32,0.6,0.344933469805527,0.861111111111111,0.583333333333333,0.15
"161","rf",33,0.55,0.271255060728745,0.666666666666667,0.576923076923077,0.2
"162","nnet",33,0.625,0.365247289076964,0.743589743589744,0.769230769230769,0.0666666666666667
"163","knn",33,0.5875,0.327559857361182,0.692307692307692,0.576923076923077,0.333333333333333
"164","NB",33,0.6,0.374694675134343,0.666666666666667,0.576923076923077,0.466666666666667
"165","mlog",33,0.6375,0.425030978934325,0.717948717948718,0.615384615384615,0.466666666666667
"166","rf",34,0.6875,0.492772001014456,0.897435897435897,0.571428571428571,0.4
"167","nnet",34,0.65,0.434914228052472,0.871794871794872,0.857142857142857,0
"168","knn",34,0.7125,0.536873898817015,0.871794871794872,0.80952380952381,0.3
"169","NB",34,0.675,0.485021044813073,0.846153846153846,0.523809523809524,0.5
"170","mlog",34,0.7,0.519879969992498,0.871794871794872,0.619047619047619,0.45
"171","rf",35,0.5875,0.323597232897771,0.804878048780488,0.416666666666667,0.266666666666667
"172","nnet",35,0.6125,0.375472173256107,0.75609756097561,0.541666666666667,0.333333333333333
"173","knn",35,0.6,0.327731092436975,0.853658536585366,0.416666666666667,0.2
"174","NB",35,0.5625,0.279650115770517,0.804878048780488,0.291666666666667,0.333333333333333
"175","mlog",35,0.675,0.458474355636553,0.804878048780488,0.625,0.4
"176","rf",36,0.625,0.409594095940959,0.857142857142857,0.6875,0.310344827586207
"177","nnet",36,0.525,0.277566539923954,0.857142857142857,0.75,0
"178","knn",36,0.6,0.378188000971581,0.885714285714286,0.75,0.172413793103448
"179","NB",36,0.6,0.374083129584352,0.885714285714286,0.5625,0.275862068965517
"180","mlog",36,0.5875,0.347503707365299,0.857142857142857,0.625,0.241379310344828
"181","rf",37,0.5625,0.283520982599795,0.837837837837838,0.45,0.217391304347826
"182","nnet",37,0.575,0.322371699053313,0.756756756756757,0.45,0.391304347826087
"183","knn",37,0.5625,0.27536231884058,0.864864864864865,0.6,0.0434782608695652
"184","NB",37,0.5375,0.246819338422392,0.783783783783784,0.45,0.217391304347826
"185","mlog",37,0.6125,0.371833839918946,0.837837837837838,0.6,0.260869565217391
